index,year,energia_Gg_CO2e_GWP_SAR,residuo_Gg_CO2e_GWP_SAR,agropecuaria_Gg_CO2e_GWP_SAR,ippu_Gg_CO2e_GWP_SAR,lulucf_Gg_CO2e_GWP_SAR
RESIDENCIAL,2000,23566.00416147837,40645.57888675783,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",2001,9950.411733854695,0.0,0.0,0.0,146950.0018443331
"0192
Pecuária, inclusive o apoio à pecuária",2001,4236.232385463644,950.1534,0.0,0.0,1008101.4162854652
"0280
Produção florestal; pesca e aquicultura",2001,1966.0397092768935,0.0,0.0,0.0,-35364.476474796444
"0580
Extração de carvão mineral e de minerais não-metálicos",2001,1508.3629393581548,0.0,0.0,0.0,0.0
"0680
Extração de petróleo e gás, inclusive as atividades de apoio",2001,1639.7779967394326,0.0,0.0,0.0,0.0
"0791
Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",2001,2237.0407638287684,0.0,0.0,0.0,0.0
"0792
Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos",2001,3218.2301478022714,0.0,0.0,0.0,0.0
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",2001,2661.230233357783,528.3516000000001,0.0,0.0,0.0
"1092
Fabricação e refino de açúcar",2001,757.8594369640674,0.0,0.0,0.0,0.0
"1093
Outros produtos alimentares",2001,1469.0804742510495,0.0,0.0,0.0,0.0
"1100
Fabricação de bebidas",2001,608.5681010563883,341.9976,0.0,0.0,0.0
"1200
Fabricação de produtos do fumo",2001,24.331059366751827,0.0,0.0,0.0,0.0
"1300
Fabricação de produtos têxteis",2001,1223.3597785665072,0.0,0.0,0.0,0.0
"1400
Confecção de artefatos do vestuário e acessórios",2001,74.37590988077969,0.0,0.0,0.0,0.0
"1500
Fabricação de calçados e de artefatos de couro",2001,89.56249946708552,0.0,0.0,0.0,0.0
"1600
Fabricação de produtos da madeira",2001,1120.415936967817,0.0,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",2001,4817.457507768006,268.4577,0.0,0.0,0.0
"1800
Impressão e reprodução de gravações",2001,36.057675871133654,0.0,0.0,0.0,0.0
"1991
Refino de petróleo e coquerias",2001,46535.918448261546,0.0,0.0,0.0,0.0
"1992
Fabricação de biocombustíveis",2001,723.8484478599984,0.0,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2001,11786.283740378725,0.0,0.0,11168.967538469482,0.0
"2092
Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2001,2539.821604873913,0.0,0.0,0.0,0.0
"2093
Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",2001,816.6447558828017,0.0,0.0,0.0,0.0
"2100
Fabricação de produtos farmoquímicos e farmacêuticos",2001,192.98438135122083,0.0,0.0,0.0,0.0
"2200
Fabricação de produtos de borracha e de material plástico",2001,1366.626327246875,0.0,0.0,0.0,0.0
"2300
Fabricação de produtos de minerais não-metálicos",2001,14392.808940232577,0.0,0.0,20641.105770311333,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2001,5635.533220929283,0.0,0.0,38688.13995483506,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",2001,3026.54170673926,0.0,0.0,3049.7454646002443,0.0
"2500
Fabricação de produtos de metal, exceto máquinas e equipamentos",2001,961.3392607734279,0.0,0.0,0.0,0.0
"2600
Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2001,62.31290614201081,0.0,0.0,0.0,0.0
"2700
Fabricação de máquinas e equipamentos elétricos",2001,367.14905047204275,0.0,0.0,0.0,0.0
"2800
Fabricação de máquinas e equipamentos mecânicos",2001,360.5022966860497,0.0,0.0,0.0,0.0
"2991
Fabricação de automóveis, caminhões e ônibus, exceto peças",2001,289.31115223971074,0.0,0.0,0.0,0.0
"2992
Fabricação de peças e acessórios para veículos automotores",2001,812.2242422733834,0.0,0.0,0.0,0.0
"3000
Fabricação de outros equipamentos de transporte, exceto veículos automotores",2001,70.60571096901337,0.0,0.0,0.0,0.0
"3180
Fabricação de móveis e de produtos de indústrias diversas",2001,164.6366932682095,0.0,0.0,0.0,0.0
"3300
Manutenção, reparação e instalação de máquinas e equipamentos",2001,128.16922661412727,0.0,0.0,0.0,0.0
"3500
Energia elétrica, gás natural e outras utilidades",2001,6922.446088847575,0.0,0.0,0.0,0.0
"3680
Água, esgoto e gestão de resíduos",2001,1797.347959545207,0.0,0.0,0.0,0.0
"4180
Construção",2001,1445.0518042159715,0.0,0.0,0.0,0.0
"4500
Comércio e reparação de veículos automotores e motocicletas",2001,111.91578313553516,0.0,0.0,0.0,0.0
"4680
Comércio por atacado e a varejo, exceto veículos automotores",2001,2069.5884517719574,0.0,0.0,0.0,0.0
"4900
Transporte terrestre",2001,118370.00965085396,0.0,0.0,0.0,0.0
"5000
Transporte aquaviário",2001,3306.541907285518,0.0,0.0,0.0,0.0
"5100
Transporte aéreo",2001,8634.374284459473,0.0,0.0,0.0,0.0
"5280
Armazenamento, atividades auxiliares dos transportes e correio",2001,216.50345248102764,0.0,0.0,0.0,0.0
"5500
Alojamento",2001,96.59660430511668,0.0,0.0,0.0,0.0
"5600
Alimentação",2001,191.0030814121594,0.0,0.0,0.0,0.0
"5800
Edição e edição integrada à impressão",2001,7.9566111325298845,0.0,0.0,0.0,0.0
"5980
Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem",2001,27.00445369320914,0.0,0.0,0.0,0.0
"6100
Telecomunicações",2001,136.52277773002825,0.0,0.0,0.0,0.0
"6280
Desenvolvimento de sistemas e outros serviços de informação",2001,60.22249707614136,0.0,0.0,0.0,0.0
"6480
Intermediação financeira, seguros e previdência complementar",2001,162.93817110154484,0.0,0.0,0.0,0.0
"6800
Atividades imobiliárias",2001,61.8701421353129,0.0,0.0,0.0,0.0
"6980
Atividades jurídicas, contábeis, consultoria e sedes de empresas ",2001,92.19246465977196,0.0,0.0,0.0,0.0
"7180
Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",2001,140.4045255878914,0.0,0.0,0.0,0.0
"7380
Outras atividades profissionais, científicas e técnicas",2001,20.732256007905708,0.0,0.0,0.0,0.0
"7700
Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual",2001,23.47000394813529,0.0,0.0,0.0,0.0
"7880
Outras atividades administrativas e serviços complementares",2001,582.4501642700966,0.0,0.0,0.0,0.0
"8000
Atividades de vigilância, segurança e investigação",2001,9.460846663520435,0.0,0.0,0.0,0.0
"8400
Administração pública, defesa e seguridade social",2001,1893.276094145745,0.0,0.0,0.0,0.0
"8591
Educação pública",2001,532.1647531812624,0.0,0.0,0.0,0.0
"8592
Educação privada",2001,190.23887325159754,0.0,0.0,0.0,0.0
"8691
Saúde pública",2001,431.6422452878069,20.425539581447325,0.0,0.0,0.0
