"CD_MUN","NM_MUN","SIGLA_UF","Symbol_WRB","WRB1","Soil_Group","Legenda","Rotulo","area","porc_mun"
3547304.0,Santana de Parnaíba,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,179.949449756509,1.0
3547403.0,Santa Rita d'Oeste,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,167.062974893656,0.796296827062821
3547403.0,Santa Rita d'Oeste,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,31.3537270006394,0.149445880172407
3547403.0,Santa Rita d'Oeste,SP,Water,,,Water,Water,11.3831732475855,0.0542572927647716
3547502.0,Santa Rita do Passa Quatro,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,122.334665670213,0.162217332165084
3547502.0,Santa Rita do Passa Quatro,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,631.805869360387,0.837782667834916
3547601.0,Santa Rosa de Viterbo,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,49.9959019200402,0.173250057740145
3547601.0,Santa Rosa de Viterbo,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,238.580636363302,0.826749942259855
3547650.0,Santa Salete,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,79.1924976363394,1.0
3547700.0,Santo Anastácio,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,129.619582622109,0.234446272718426
3547700.0,Santo Anastácio,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,423.255842178457,0.765553727281574
3547809.0,Santo André,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,67.5208757769321,0.384118169493573
3547809.0,Santo André,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,92.2540510252467,0.52482223905471
3547809.0,Santo André,SP,Water,,,Water,Water,16.006593415812,0.0910595914517172
3547908.0,Santo Antônio da Alegria,SP,ARdy,Dystric ARENOSOLS,ARENOSOLS,Dystric ARENOSOLS,AR,91.9528687860851,0.296325049492527
3547908.0,Santo Antônio da Alegria,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,218.357950172891,0.703674950507473
3548005.0,Santo Antônio de Posse,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,105.86490405977,0.686843244726821
3548005.0,Santo Antônio de Posse,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,48.2676507444573,0.313156755273179
3548054.0,Santo Antônio do Aracanguá,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,836.652402637791,0.639431677567405
3548054.0,Santo Antônio do Aracanguá,SP,Water,,,Water,Water,471.778868425717,0.360568322432595
3548104.0,Santo Antônio do Jardim,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,5.26851979759318,0.0479148139649097
3548104.0,Santo Antônio do Jardim,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,104.687449173748,0.95208518603509
3548203.0,Santo Antônio do Pinhal,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,25.0943683678246,0.188667496097267
3548203.0,Santo Antônio do Pinhal,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,107.914066507928,0.811332503902733
3548302.0,Santo Expedito,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,94.4653984605377,1.0
3548401.0,Santópolis do Aguapeí,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,128.026113645481,1.0
3548500.0,Santos,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,131.486372651237,0.524299300282016
