atividade_cod;atividade_desc;cnae2_4cod;cnae2_cod;isic4_sec;isic4_cod; isic4_desc;cnae2_desc
1093;Outros produtos alimentares;1061;106;C;106;Elaboración de productos de molinería, almidones y productos derivados del almidón;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1061;106;C;108;Elaboración de piensos preparados para animales;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1062;106;C;106;Elaboración de productos de molinería, almidones y productos derivados del almidón;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1062;106;C;108;Elaboración de piensos preparados para animales;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1063;106;C;106;Elaboración de productos de molinería, almidones y productos derivados del almidón;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1063;106;C;108;Elaboración de piensos preparados para animales;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1064;106;C;106;Elaboración de productos de molinería, almidones y productos derivados del almidón;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1064;106;C;108;Elaboración de piensos preparados para animales;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1065;106;C;106;Elaboración de productos de molinería, almidones y productos derivados del almidón;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1065;106;C;108;Elaboración de piensos preparados para animales;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1066;106;C;106;Elaboración de productos de molinería, almidones y productos derivados del almidón;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1066;106;C;108;Elaboración de piensos preparados para animales;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1069;106;C;106;Elaboración de productos de molinería, almidones y productos derivados del almidón;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1069;106;C;108;Elaboración de piensos preparados para animales;Moagem, fabricação de produtos amiláceos e de alimentos para animais
1093;Outros produtos alimentares;1081;108;C;107;Elaboración de otros productos alimenticios;Torrefação e moagem de café
1093;Outros produtos alimentares;1082;108;C;107;Elaboración de otros productos alimenticios;Torrefação e moagem de café
1093;Outros produtos alimentares;1091;109;C;107;Elaboración de otros productos alimenticios;Fabricação de outros produtos alimentícios
1093;Outros produtos alimentares;1092;109;C;107;Elaboración de otros productos alimenticios;Fabricação de outros produtos alimentícios
1093;Outros produtos alimentares;1093;109;C;107;Elaboración de otros productos alimenticios;Fabricação de outros produtos alimentícios
1093;Outros produtos alimentares;1094;109;C;107;Elaboración de otros productos alimenticios;Fabricação de outros produtos alimentícios
1093;Outros produtos alimentares;1095;109;C;107;Elaboración de otros productos alimenticios;Fabricação de outros produtos alimentícios
1093;Outros produtos alimentares;1096;109;C;107;Elaboración de otros productos alimenticios;Fabricação de outros produtos alimentícios
1093;Outros produtos alimentares;1099;109;C;107;Elaboración de otros productos alimenticios;Fabricação de outros produtos alimentícios
1100;Fabricação de bebidas;1111;11;C;11;ELABORACIÓN DE BEBIDAS;FABRICAÇÃO DE BEBIDAS
1100;Fabricação de bebidas;1112;11;C;11;ELABORACIÓN DE BEBIDAS;FABRICAÇÃO DE BEBIDAS
1100;Fabricação de bebidas;1113;11;C;11;ELABORACIÓN DE BEBIDAS;FABRICAÇÃO DE BEBIDAS
1100;Fabricação de bebidas;1121;11;C;11;ELABORACIÓN DE BEBIDAS;FABRICAÇÃO DE BEBIDAS
