setor,gas,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,ALCATRÃO
NÃO-FERROSOS E OUTROS DA METALURGIA,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
QUÍMICA,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
ALIMENTOS E BEBIDAS,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,4.19e-05,0.000167,2.51e-05,5.86e-05
TÊXTIL,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
PAPEL E CELULOSE,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
CERÂMICA,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
OUTROS,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
CONSUMO NÃO-IDENTIFICADO,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
SETOR ENERGÉTICO,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.00419,0.00419,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.00419,0.00419,0.00837,0.0126
RESIDENCIAL,NOx Gg/1000 tep,0.00209,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419
COMERCIAL,NOx Gg/1000 tep,0.00209,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419
PÚBLICO,NOx Gg/1000 tep,0.00209,0.0104975,0.0104975,0.00419,0.004187937499999999,0.00419,0.00419,0.00419,0.008605555555555554,0.00419,0.00419,0.00419,0.0104975,0.00419,0.00512805882352941,0.006899676470588236,0.00988184705882353
AGROPECUÁRIO,NOx Gg/1000 tep,0.00209,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419
RODOVIÁRIO,NOx Gg/1000 tep,0.005047647058823528,0.0104975,0.0104975,0.004188058823529411,0.004187937499999999,0.00419,0.0335,0.010232777777777776,0.0251,0.007140588235294119,0.007443888888888889,0.007140588235294119,0.0104975,0.0062775,0.02017,9.45e-05,3.14e-05
FERROVIÁRIO,NOx Gg/1000 tep,0.005047647058823528,0.0104975,0.0104975,0.004188058823529411,0.004187937499999999,0.00419,0.0502,0.010232777777777776,0.008605555555555554,0.007140588235294119,0.007443888888888889,0.007140588235294119,0.0104975,0.004304138888888888,0.00512805882352941,0.006899676470588236,0.00988184705882353
AÉREO,NOx Gg/1000 tep,0.005047647058823528,0.0104975,0.0104975,0.004188058823529411,0.004187937499999999,0.00419,0.013394499999999998,0.010232777777777776,0.0126,0.007140588235294119,0.0126,0.007140588235294119,0.0104975,0.004304138888888888,0.00512805882352941,0.006899676470588236,0.00988184705882353
HIDROVIÁRIO,NOx Gg/1000 tep,0.005047647058823528,0.0104975,0.0104975,0.004188058823529411,0.004187937499999999,0.00419,0.0628,0.0628,0.008605555555555554,0.007140588235294119,0.007443888888888889,0.007140588235294119,0.0104975,0.004304138888888888,0.00512805882352941,0.006899676470588236,0.00988184705882353
CIMENTO,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
FERRO-GUSA E AÇO,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
FERRO-LIGAS,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
MINERAÇÃO E PELOTIZAÇÃO,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
NÃO-FERROSOS E OUTROS DA METALURGIA,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
QUÍMICA,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
ALIMENTOS E BEBIDAS,NOx Gg/1000 tep,0.00209,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419,0.00419
TÊXTIL,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
PAPEL E CELULOSE,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
CERÂMICA,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
OUTROS,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
CONSUMO NÃO-IDENTIFICADO,NOx Gg/1000 tep,0.00628,0.0126,0.0126,0.004187,0.004187,0.00419,0.00837,0.00837,0.00837,0.00837,0.00837,0.00837,0.0126,0.004187,0.004187,0.00837,0.0126
SETOR ENERGÉTICO,CO Gg/1000 tep,0.0003587,0.0003587,0.0003587,0.0179571,0.0179571,0.0179571,0.0002691,0.0002691,0.0002691,0.0002691,0.0002691,0.0002691,0.0003587,0.0179571,0.0179571,0.0002691,0.0003587
RESIDENCIAL,CO Gg/1000 tep,0.0008957,0.0358714,0.0358714,0.0895714,0.0895714,0.0179571,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0358714,0.1255714,0.0895714,0.0003587,0.0358714
COMERCIAL,CO Gg/1000 tep,0.0008957,0.0358714,0.0358714,0.0895714,0.0895714,0.0179571,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0358714,0.1255714,0.0895714,0.0003587,0.0358714
PÚBLICO,CO Gg/1000 tep,0.0008957,0.010840606250000002,0.010840606250000002,0.0895714,0.0726144375,0.0179571,0.0003587,0.0003587,0.008280366666666667,0.0003587,0.0003587,0.0003587,0.010840606250000002,0.0358714,0.07904241176470589,0.00022996874999999995,0.010840606250000002
AGROPECUÁRIO,CO Gg/1000 tep,0.0008957,0.0358714,0.0358714,0.1752857,0.1752857,0.0179571,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0358714,0.1255714,0.1752857,0.0003587,0.0358714
RODOVIÁRIO,CO Gg/1000 tep,0.0006339529411764708,0.010840606250000002,0.010840606250000002,0.05051190588235294,0.0726144375,0.0179571,0.0179571,0.0012219611111111107,0.1435714,0.00023754117647058822,0.00032410555555555565,0.00023754117647058822,0.010840606250000002,0.07902350000000002,0.18189,0.00022996874999999995,0.010840606250000002
FERROVIÁRIO,CO Gg/1000 tep,0.0006339529411764708,0.010840606250000002,0.010840606250000002,0.05051190588235294,0.0726144375,0.0179571,0.0179571,0.0012219611111111107,0.008280366666666667,0.00023754117647058822,0.00032410555555555565,0.00023754117647058822,0.010840606250000002,0.07902350000000002,0.07904241176470589,0.00022996874999999995,0.010840606250000002
AÉREO,CO Gg/1000 tep,0.0006339529411764708,0.010840606250000002,0.010840606250000002,0.05051190588235294,0.0726144375,0.0179571,0.0028954750000000002,0.0012219611111111107,0.0017957,0.00023754117647058822,0.0017957,0.00023754117647058822,0.010840606250000002,0.07902350000000002,0.07904241176470589,0.00022996874999999995,0.010840606250000002
HIDROVIÁRIO,CO Gg/1000 tep,0.0006339529411764708,0.010840606250000002,0.010840606250000002,0.05051190588235294,0.0726144375,0.0179571,0.0179571,0.0179571,0.008280366666666667,0.00023754117647058822,0.00032410555555555565,0.00023754117647058822,0.010840606250000002,0.07902350000000002,0.07904241176470589,0.00022996874999999995,0.010840606250000002
CIMENTO,CO Gg/1000 tep,0.00054,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
FERRO-GUSA E AÇO,CO Gg/1000 tep,0.00054,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
FERRO-LIGAS,CO Gg/1000 tep,0.00054,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
MINERAÇÃO E PELOTIZAÇÃO,CO Gg/1000 tep,0.00054,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
NÃO-FERROSOS E OUTROS DA METALURGIA,CO Gg/1000 tep,0.00054,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
QUÍMICA,CO Gg/1000 tep,0.00054,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
ALIMENTOS E BEBIDAS,CO Gg/1000 tep,0.0008957,0.0358714,0.0358714,0.00216,0.00216,0.0179571,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0358714,0.1255714,0.00216,0.0003587,0.0358714
TÊXTIL,CO Gg/1000 tep,0.00054,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
PAPEL E CELULOSE,CO Gg/1000 tep,0.00054,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
