biome,from_level_1,to_level_2,year,values,total,coeficiente
PANTANAL,1. Forest,Pasture,2012-2013,7881.573477026375,24467.662638317866,0.3221220430219332
AMAZÔNIA,1. Forest,Agriculture,2013-2014,18778.143323858687,1015236.2931020885,0.018496327851402396
AMAZÔNIA,1. Forest,Forest Plantation,2013-2014,1467.4618967529284,1015236.2931020885,0.00144543876802222
AMAZÔNIA,1. Forest,Land Use Mosaic,2013-2014,3.8676946044921863,1015236.2931020885,3.809649665571269e-06
AMAZÔNIA,1. Forest,Pasture,2013-2014,994986.8201868724,1015236.2931020885,0.9800544237309098
CAATINGA,1. Forest,Agriculture,2013-2014,10818.983324774174,352778.33664895047,0.030667935643509024
CAATINGA,1. Forest,Forest Plantation,2013-2014,100.96346969604491,352778.33664895047,0.00028619520873957065
CAATINGA,1. Forest,Land Use Mosaic,2013-2014,141826.21473933719,352778.33664895047,0.4020264285118742
CAATINGA,1. Forest,Pasture,2013-2014,200032.17511514304,352778.33664895047,0.5670194406358771
CERRADO,1. Forest,Agriculture,2013-2014,127390.5803473697,788966.6588393565,0.16146509984943233
CERRADO,1. Forest,Forest Plantation,2013-2014,26891.974515362515,788966.6588393565,0.034085058239245646
CERRADO,1. Forest,Land Use Mosaic,2013-2014,140443.2845233154,788966.6588393565,0.17800915025981018
CERRADO,1. Forest,Pasture,2013-2014,494240.8194533089,788966.6588393565,0.6264406916515118
MATA ATLÂNTICA,1. Forest,Agriculture,2013-2014,8175.749622943117,189871.75252531742,0.04305932564588809
MATA ATLÂNTICA,1. Forest,Forest Plantation,2013-2014,30877.942642120364,189871.75252531742,0.16262525747742868
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2013-2014,125511.00361398932,189871.75252531742,0.661030416292459
MATA ATLÂNTICA,1. Forest,Pasture,2013-2014,25307.05664626464,189871.75252531742,0.13328500058422438
PAMPA,1. Forest,Agriculture,2013-2014,794.7828250732423,4476.644165185544,0.17753987043558125
PAMPA,1. Forest,Forest Plantation,2013-2014,500.451050531005,4476.644165185544,0.11179156351603005
PAMPA,1. Forest,Land Use Mosaic,2013-2014,3181.410289581297,4476.644165185544,0.7106685660483888
PAMPA,1. Forest,Pasture,2013-2014,0.0,4476.644165185544,0.0
PANTANAL,1. Forest,Agriculture,2013-2014,6.837518066406242,24861.554586108414,0.00027502375375298364
PANTANAL,1. Forest,Forest Plantation,2013-2014,1.976525714111326,24861.554586108414,7.950129213624175e-05
PANTANAL,1. Forest,Land Use Mosaic,2013-2014,18511.949175909438,24861.554586108414,0.7446014331804147
PANTANAL,1. Forest,Pasture,2013-2014,6340.791366418461,24861.554586108414,0.2550440417736961
AMAZÔNIA,1. Forest,Agriculture,2014-2015,18254.707009326165,1287472.5536451258,0.014178715466704872
AMAZÔNIA,1. Forest,Forest Plantation,2014-2015,681.9844281799318,1287472.5536451258,0.000529707935325751
AMAZÔNIA,1. Forest,Land Use Mosaic,2014-2015,6.7006674011230505,1287472.5536451258,5.204512812449436e-06
AMAZÔNIA,1. Forest,Pasture,2014-2015,1268529.1615402186,1287472.5536451258,0.9852863720851569
CAATINGA,1. Forest,Agriculture,2014-2015,19944.667143634026,382131.968637787,0.05219313949244341
CAATINGA,1. Forest,Forest Plantation,2014-2015,17.106403997802744,382131.968637787,4.476569719823013e-05
CAATINGA,1. Forest,Land Use Mosaic,2014-2015,153821.06601145022,382131.968637787,0.40253388524332867
CAATINGA,1. Forest,Pasture,2014-2015,208349.12907870492,382131.968637787,0.5452282095670297
CERRADO,1. Forest,Agriculture,2014-2015,149659.71028870862,781322.506933978,0.19154665194017625
CERRADO,1. Forest,Forest Plantation,2014-2015,9691.762303845222,781322.506933978,0.012404304519368184
CERRADO,1. Forest,Land Use Mosaic,2014-2015,133443.6092088745,781322.506933978,0.17079196877679415
CERRADO,1. Forest,Pasture,2014-2015,488527.4251325496,781322.506933978,0.6252570747636614
MATA ATLÂNTICA,1. Forest,Agriculture,2014-2015,7447.450708154293,184186.93315294205,0.04043419682747095
MATA ATLÂNTICA,1. Forest,Forest Plantation,2014-2015,15570.49846655886,184186.93315294205,0.08453639028578477
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2014-2015,134783.8166509339,184186.93315294205,0.7317773000705451
MATA ATLÂNTICA,1. Forest,Pasture,2014-2015,26385.167327294974,184186.93315294205,0.1432521128161991
PAMPA,1. Forest,Agriculture,2014-2015,921.9272447082519,3780.486827606201,0.24386468905964023
PAMPA,1. Forest,Forest Plantation,2014-2015,603.517976080322,3780.486827606201,0.15964028010182718
PAMPA,1. Forest,Land Use Mosaic,2014-2015,2255.0416068176273,3780.486827606201,0.5964950308385326
PAMPA,1. Forest,Pasture,2014-2015,0.0,3780.486827606201,0.0
PANTANAL,1. Forest,Agriculture,2014-2015,35.47090870361328,24143.597735028085,0.0014691641690232138
PANTANAL,1. Forest,Forest Plantation,2014-2015,3.26783174438476,24143.597735028085,0.0001353498256659452
