setor,gas,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,ALCATRÃO
NÃO-FER E OUT METAL,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
QUÍMICA,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
ALIMENTOS E BEBIDAS,NOx Gg/1000 tep,0.0020900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900
TEXTIL,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
PAPEL E CELULOSE,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
CERÂMICA,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
OUTROS,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
CONSUMO NÃO-IDENTIFICADO,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
SETOR ENERGÉTICO,CO Gg/1000 tep,0.0003587,0.0003587,0.0003587,0.0179571,0.0179571,0.0179571,0.0002691,0.0002691,0.0002691,0.0002691,0.0002691,0.0002691,0.0003587,0.0179571,0.0179571,0.0002691,0.0003587
RESIDENCIAL,CO Gg/1000 tep,0.0008957,0.0358714,0.0358714,0.0895714,0.0895714,0.0179571,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0358714,0.1255714,0.0895714,0.0003587,0.0358714
