"CD_MUN","Soil_Group","NM_MUN","SIGLA_UF","Symbol_WRB","WRB1","Legenda","Rotulo","area","porc_mun","note","note2","final_note_mun"
1100304.0,LIXISOLS,Vilhena,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,164.544518942548,0.014064624358245,"0.5",0.00703231217912249,0.268616958991948
1100304.0,Rock Outcrops,Vilhena,RO,RO,Rock Outcrops,Rock Outcrops,RO,210.928853840362,0.018029376576291,"0",0.0,0.268616958991948
1100304.0,ARENOSOLS,Vilhena,RO,ARdy,Dystric ARENOSOLS,Dystric ARENOSOLS,AR,6391.06117780581,0.546283007748112,"0",0.0,0.268616958991948
1100320.0,LIXISOLS,São Miguel do Guaporé,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,22.5116779367802,0.00301756249625786,"0.5",0.00150878124812893,0.339462430820239
1100320.0,ARENOSOLS,São Miguel do Guaporé,RO,ARgl,Gleyic ARENOSOLS,Gleyic ARENOSOLS,AR,432.681062567646,0.0579984375625744,"0",0.0,0.339462430820239
1100320.0,Rock Outcrops,São Miguel do Guaporé,RO,RO,Rock Outcrops,Rock Outcrops,RO,231.181290243283,0.0309885381815485,"0",0.0,0.339462430820239
1100320.0,FERRALSOLS,São Miguel do Guaporé,RO,FRxa,Xanthic FERRALSOLS,Xanthic FERRALSOLS,FR,1848.9060421828,0.247835347843172,"0.5",0.123917673921586,0.339462430820239
1100320.0,LEPTOSOLS,São Miguel do Guaporé,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,1731.42858721772,0.232088162615399,"0",0.0,0.339462430820239
1100320.0,ACRISOLS,São Miguel do Guaporé,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,1083.14988830739,0.145190087116614,"0.5",0.0725950435583068,0.339462430820239
1100320.0,FERRALSOLS,São Miguel do Guaporé,RO,FRha,Haplic FERRALSOLS,Haplic FERRALSOLS,FR,2110.36073936273,0.282881864184435,"0.5",0.141440932092217,0.339462430820239
1100338.0,ARENOSOLS,Nova Mamoré,RO,ARgl,Gleyic ARENOSOLS,Gleyic ARENOSOLS,AR,422.095038145521,0.0422484451863836,"0",0.0,0.346738621154658
1100338.0,LEPTOSOLS,Nova Mamoré,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,1331.3488522049,0.133257711944346,"0",0.0,0.346738621154658
1100338.0,Rock Outcrops,Nova Mamoré,RO,RO,Rock Outcrops,Rock Outcrops,RO,1222.46295854465,0.122359077053761,"0",0.0,0.346738621154658
1100338.0,ACRISOLS,Nova Mamoré,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,4988.50764489114,0.499310991010463,"0.5",0.249655495505231,0.346738621154658
