atividade,descricao,CNAE 4 digitos
4580,Comércio por atacado e varejo,4634
4580,Comércio por atacado e varejo,4635
4580,Comércio por atacado e varejo,4636
4580,Comércio por atacado e varejo,4637
4580,Comércio por atacado e varejo,4639
4580,Comércio por atacado e varejo,4641
4580,Comércio por atacado e varejo,4642
4580,Comércio por atacado e varejo,4643
4580,Comércio por atacado e varejo,4644
4580,Comércio por atacado e varejo,4645
4580,Comércio por atacado e varejo,4646
4580,Comércio por atacado e varejo,4647
4580,Comércio por atacado e varejo,4649
4580,Comércio por atacado e varejo,4651
4580,Comércio por atacado e varejo,4652
4580,Comércio por atacado e varejo,4661
4580,Comércio por atacado e varejo,4662
4580,Comércio por atacado e varejo,4663
4580,Comércio por atacado e varejo,4664
4580,Comércio por atacado e varejo,4665
4580,Comércio por atacado e varejo,4669
4580,Comércio por atacado e varejo,4671
4580,Comércio por atacado e varejo,4672
4580,Comércio por atacado e varejo,4673
4580,Comércio por atacado e varejo,4674
4580,Comércio por atacado e varejo,4679
4580,Comércio por atacado e varejo,4681
4580,Comércio por atacado e varejo,4682
4580,Comércio por atacado e varejo,4683
4580,Comércio por atacado e varejo,4684
4580,Comércio por atacado e varejo,4685
4580,Comércio por atacado e varejo,4686
4580,Comércio por atacado e varejo,4687
4580,Comércio por atacado e varejo,4689
4580,Comércio por atacado e varejo,4691
4580,Comércio por atacado e varejo,4692
4580,Comércio por atacado e varejo,4693
4580,Comércio por atacado e varejo,4711
4580,Comércio por atacado e varejo,4712
4580,Comércio por atacado e varejo,4713
4580,Comércio por atacado e varejo,4721
4580,Comércio por atacado e varejo,4722
4580,Comércio por atacado e varejo,4723
4580,Comércio por atacado e varejo,4724
4580,Comércio por atacado e varejo,4729
4580,Comércio por atacado e varejo,4731
4580,Comércio por atacado e varejo,4732
4580,Comércio por atacado e varejo,4741
4580,Comércio por atacado e varejo,4742
4580,Comércio por atacado e varejo,4743
4580,Comércio por atacado e varejo,4744
4580,Comércio por atacado e varejo,4751
4580,Comércio por atacado e varejo,4752
4580,Comércio por atacado e varejo,4753
4580,Comércio por atacado e varejo,4754
4580,Comércio por atacado e varejo,4755
4580,Comércio por atacado e varejo,4756
4580,Comércio por atacado e varejo,4757
4580,Comércio por atacado e varejo,4759
4580,Comércio por atacado e varejo,4761
4580,Comércio por atacado e varejo,4762
4580,Comércio por atacado e varejo,4763
4580,Comércio por atacado e varejo,4771
4580,Comércio por atacado e varejo,4772
4580,Comércio por atacado e varejo,4773
4580,Comércio por atacado e varejo,4774
4580,Comércio por atacado e varejo, 4781
4580,Comércio por atacado e varejo,4782
4580,Comércio por atacado e varejo,4783
4580,Comércio por atacado e varejo,4784
4580,Comércio por atacado e varejo,4785
4580,Comércio por atacado e varejo,4789
4580,Comércio por atacado e varejo,4790
4900,Transporte terrestre,4911
4900,Transporte terrestre,4912
4900,Transporte terrestre,4921
4900,Transporte terrestre,4922
4900,Transporte terrestre,4923
4900,Transporte terrestre,4924
4900,Transporte terrestre,4929
4900,Transporte terrestre,4930
4900,Transporte terrestre,4940
4900,Transporte terrestre,4950
5000,Transporte aquaviário,5011
5000,Transporte aquaviário,5012
5000,Transporte aquaviário,5021
5000,Transporte aquaviário,5022
5000,Transporte aquaviário,5030
5000,Transporte aquaviário,5091
5000,Transporte aquaviário,5099
5100,Transporte aéreo,5111
5100,Transporte aéreo,5112
5100,Transporte aéreo,5120
5100,Transporte aéreo,5130
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5211
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5212
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5221
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5222
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5223
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5229
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5231
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5232
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5239
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5240
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5250
5500,Alojamento,5510
5500,Alojamento,5590
5600,Alimentação,5611
5600,Alimentação,5612
5600,Alimentação,5620
5800,Edição e edição integrada à impressão,5811
5800,Edição e edição integrada à impressão,5812
5800,Edição e edição integrada à impressão,5813
5800,Edição e edição integrada à impressão,5819
5800,Edição e edição integrada à impressão,5821
5800,Edição e edição integrada à impressão,5822
5800,Edição e edição integrada à impressão,5823
5800,Edição e edição integrada à impressão,5829
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",5911
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",5912
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",5913
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",5914
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",5920
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",6010
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",6021
5980,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",6022
6100,Telecomunicações,6110
6100,Telecomunicações,6120
6100,Telecomunicações,6130
6100,Telecomunicações,6141
6100,Telecomunicações,6142
6100,Telecomunicações,6143
6100,Telecomunicações,6190
6280,Desenvolvimento de sistemas e outros serviços de informação,6201
6280,Desenvolvimento de sistemas e outros serviços de informação,6202
6280,Desenvolvimento de sistemas e outros serviços de informação,6203
6280,Desenvolvimento de sistemas e outros serviços de informação,6204
6280,Desenvolvimento de sistemas e outros serviços de informação,6209
6280,Desenvolvimento de sistemas e outros serviços de informação,6311
6280,Desenvolvimento de sistemas e outros serviços de informação,6319
6280,Desenvolvimento de sistemas e outros serviços de informação,6391
6280,Desenvolvimento de sistemas e outros serviços de informação,6399
6480,"Intermediação financeira, seguros e previdência complementar",6410
6480,"Intermediação financeira, seguros e previdência complementar",6421
6480,"Intermediação financeira, seguros e previdência complementar",6422
6480,"Intermediação financeira, seguros e previdência complementar",6423
6480,"Intermediação financeira, seguros e previdência complementar",6424
6480,"Intermediação financeira, seguros e previdência complementar",6431
6480,"Intermediação financeira, seguros e previdência complementar",6432
6480,"Intermediação financeira, seguros e previdência complementar",6433
6480,"Intermediação financeira, seguros e previdência complementar",6434
6480,"Intermediação financeira, seguros e previdência complementar",6435
6480,"Intermediação financeira, seguros e previdência complementar",6436
6480,"Intermediação financeira, seguros e previdência complementar", 6437
6480,"Intermediação financeira, seguros e previdência complementar",6438
6480,"Intermediação financeira, seguros e previdência complementar",6440
6480,"Intermediação financeira, seguros e previdência complementar",6450
6480,"Intermediação financeira, seguros e previdência complementar",6461
6480,"Intermediação financeira, seguros e previdência complementar",6462
6480,"Intermediação financeira, seguros e previdência complementar",6463
6480,"Intermediação financeira, seguros e previdência complementar",6470
6480,"Intermediação financeira, seguros e previdência complementar",6491
6480,"Intermediação financeira, seguros e previdência complementar",6492
6480,"Intermediação financeira, seguros e previdência complementar",6493
6480,"Intermediação financeira, seguros e previdência complementar", 6499
6480,"Intermediação financeira, seguros e previdência complementar",6511
6480,"Intermediação financeira, seguros e previdência complementar",6512
6480,"Intermediação financeira, seguros e previdência complementar",6520
6480,"Intermediação financeira, seguros e previdência complementar",6530
6480,"Intermediação financeira, seguros e previdência complementar",6541
6480,"Intermediação financeira, seguros e previdência complementar",6542
6480,"Intermediação financeira, seguros e previdência complementar",6550
6480,"Intermediação financeira, seguros e previdência complementar",6611
6480,"Intermediação financeira, seguros e previdência complementar",6612
6480,"Intermediação financeira, seguros e previdência complementar",6613
6480,"Intermediação financeira, seguros e previdência complementar", 6619
6480,"Intermediação financeira, seguros e previdência complementar",6621
6480,"Intermediação financeira, seguros e previdência complementar",6622
6480,"Intermediação financeira, seguros e previdência complementar",6629
6480,"Intermediação financeira, seguros e previdência complementar",6630
6800,Atividades imobiliárias,6810
