atividade,descricao,CNAE 4 digitos,cnae_2.0,Secao_ISIC_Rev.4
4580,Comércio por atacado e varejo,4686,46,G
4580,Comércio por atacado e varejo,4687,46,G
4580,Comércio por atacado e varejo,4689,46,G
4580,Comércio por atacado e varejo,4691,46,G
4580,Comércio por atacado e varejo,4692,46,G
4580,Comércio por atacado e varejo,4693,46,G
4580,Comércio por atacado e varejo,4711,47,G
4580,Comércio por atacado e varejo,4712,47,G
4580,Comércio por atacado e varejo,4713,47,G
4580,Comércio por atacado e varejo,4721,47,G
4580,Comércio por atacado e varejo,4722,47,G
4580,Comércio por atacado e varejo,4723,47,G
4580,Comércio por atacado e varejo,4724,47,G
4580,Comércio por atacado e varejo,4729,47,G
4580,Comércio por atacado e varejo,4731,47,G
4580,Comércio por atacado e varejo,4732,47,G
4580,Comércio por atacado e varejo,4741,47,G
4580,Comércio por atacado e varejo,4742,47,G
4580,Comércio por atacado e varejo,4743,47,G
4580,Comércio por atacado e varejo,4744,47,G
4580,Comércio por atacado e varejo,4751,47,G
4580,Comércio por atacado e varejo,4752,47,G
4580,Comércio por atacado e varejo,4753,47,G
4580,Comércio por atacado e varejo,4754,47,G
4580,Comércio por atacado e varejo,4755,47,G
4580,Comércio por atacado e varejo,4756,47,G
4580,Comércio por atacado e varejo,4757,47,G
4580,Comércio por atacado e varejo,4759,47,G
4580,Comércio por atacado e varejo,4761,47,G
4580,Comércio por atacado e varejo,4762,47,G
4580,Comércio por atacado e varejo,4763,47,G
4580,Comércio por atacado e varejo,4771,47,G
4580,Comércio por atacado e varejo,4772,47,G
4580,Comércio por atacado e varejo,4773,47,G
4580,Comércio por atacado e varejo,4774,47,G
4580,Comércio por atacado e varejo,4781,47,G
4580,Comércio por atacado e varejo,4782,47,G
4580,Comércio por atacado e varejo,4783,47,G
4580,Comércio por atacado e varejo,4784,47,G
4580,Comércio por atacado e varejo,4785,47,G
4580,Comércio por atacado e varejo,4789,47,G
4580,Comércio por atacado e varejo,4790,47,G
4900,Transporte terrestre,4911,49,H
4900,Transporte terrestre,4912,49,H
4900,Transporte terrestre,4921,49,H
4900,Transporte terrestre,4922,49,H
4900,Transporte terrestre,4923,49,H
4900,Transporte terrestre,4924,49,H
4900,Transporte terrestre,4929,49,H
4900,Transporte terrestre,4930,49,H
4900,Transporte terrestre,4940,49,H
4900,Transporte terrestre,4950,49,H
5000,Transporte aquaviário,5011,50,H
5000,Transporte aquaviário,5012,50,H
5000,Transporte aquaviário,5021,50,H
5000,Transporte aquaviário,5022,50,H
5000,Transporte aquaviário,5030,50,H
5000,Transporte aquaviário,5091,50,H
5000,Transporte aquaviário,5099,50,H
5100,Transporte aéreo,5111,51,H
5100,Transporte aéreo,5112,51,H
5100,Transporte aéreo,5120,51,H
5100,Transporte aéreo,5130,51,H
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5211,52,H
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5212,52,H
5280,"Armazenamento, atividades auxiliares dos transportes e correio",5221,52,H
