atividade,descricao,CNAE 4 digitos,cnae_2.0,Secao_ISIC_Rev.4
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2091,209,C
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2092,209,C
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2093,209,C
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2094,209,C
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2099,209,C
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",2061,206,C
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",2062,206,C
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",2063,206,C
2100,Fabricação de produtos farmoquímicos e farmacêuticos,2110,21,C
2100,Fabricação de produtos farmoquímicos e farmacêuticos,2121,21,C
2100,Fabricação de produtos farmoquímicos e farmacêuticos,2122,21,C
2100,Fabricação de produtos farmoquímicos e farmacêuticos,2123,21,C
2200,Fabricação de produtos de borracha e de material plástico,2211,22,C
2200,Fabricação de produtos de borracha e de material plástico,2212,22,C
2200,Fabricação de produtos de borracha e de material plástico,2219,22,C
2200,Fabricação de produtos de borracha e de material plástico,2221,22,C
2200,Fabricação de produtos de borracha e de material plástico,2222,22,C
2200,Fabricação de produtos de borracha e de material plástico,2223,22,C
2200,Fabricação de produtos de borracha e de material plástico,2229,22,C
2300,Fabricação de produtos de minerais não metálicos,2311,23,C
2300,Fabricação de produtos de minerais não metálicos,2312,23,C
2300,Fabricação de produtos de minerais não metálicos,2319,23,C
2300,Fabricação de produtos de minerais não metálicos,2320,23,C
2300,Fabricação de produtos de minerais não metálicos,2330,23,C
2300,Fabricação de produtos de minerais não metálicos,2341,23,C
2300,Fabricação de produtos de minerais não metálicos,2342,23,C
2300,Fabricação de produtos de minerais não metálicos,2349,23,C
2300,Fabricação de produtos de minerais não metálicos,2391,23,C
2300,Fabricação de produtos de minerais não metálicos,2392,23,C
2300,Fabricação de produtos de minerais não metálicos,2399,23,C
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2411,241,C
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2412,241,C
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2421,242,C
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2422,242,C
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2423,242,C
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2424,242,C
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2431,243,C
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2439,243,C
2492,Metalurgia de metais não ferosos e a fundição de metais,2441,244,C
2492,Metalurgia de metais não ferosos e a fundição de metais,2442,244,C
2492,Metalurgia de metais não ferosos e a fundição de metais,2443,244,C
2492,Metalurgia de metais não ferosos e a fundição de metais,2449,244,C
2492,Metalurgia de metais não ferosos e a fundição de metais,2451,245,C
2492,Metalurgia de metais não ferosos e a fundição de metais,2452,245,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2511,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2512,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2513,25,C
